Temperature,Humidity,WindSpeed,Rainfall,Outfit,Outdoor Outfit,Formal Outfit,Party Outfit,Casual Outfit
7,6,33.48,0.86,"Winter Coat, Sweater, Scarf, Boots","Jacket, Sweater, Jeans, Sneakers","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
8,38,6.7,84.52,"Winter Coat, Sweater, Scarf, Boots","Jacket, Sweater, Jeans, Sneakers","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
32,24,25.78,17.25,"Loose Cotton Clothing, Cap, Sunscreen, Hydration Recommended","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
16,95,11.13,2.88,"Light Jacket, Full-Sleeve Shirt, Jeans","Casual Shirt, Jeans, Comfortable Shoes","Formal Suit, Shirt, Tie, Leather Shoes","Blazer, Dress Shirt, Dark Jeans, Dress Shoes","T-shirt, Jacket, Joggers, Casual Shoes"
24,80,3.59,36.65,"Raincoat, Waterproof Shoes, Light Clothes","Casual Shirt, Jeans, Comfortable Shoes","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
20,25,21.52,2.48,"Raincoat, Waterproof Shoes, Light Clothes","Casual Shirt, Jeans, Comfortable Shoes","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
25,10,30.1,27.86,"Raincoat, Waterproof Shoes, Light Clothes","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
13,64,36.85,26.69,"Light Jacket, Full-Sleeve Shirt, Jeans","Jacket, Sweater, Jeans, Sneakers","Formal Suit, Shirt, Tie, Leather Shoes","Blazer, Dress Shirt, Dark Jeans, Dress Shoes","T-shirt, Jacket, Joggers, Casual Shoes"
-15,83,18.45,72.68,"Heavy Winter Jacket, Gloves, Woolen Cap, Thermal Wear","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
16,99,3.38,48.94,"Light Jacket, Full-Sleeve Shirt, Jeans","Casual Shirt, Jeans, Comfortable Shoes","Formal Suit, Shirt, Tie, Leather Shoes","Blazer, Dress Shirt, Dark Jeans, Dress Shoes","T-shirt, Jacket, Joggers, Casual Shoes"
13,74,35.18,64.07,"Light Jacket, Full-Sleeve Shirt, Jeans","Jacket, Sweater, Jeans, Sneakers","Formal Suit, Shirt, Tie, Leather Shoes","Blazer, Dress Shirt, Dark Jeans, Dress Shoes","T-shirt, Jacket, Joggers, Casual Shoes"
32,88,34.23,7.94,"Loose Cotton Clothing, Cap, Sunscreen, Hydration Recommended","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
36,74,23.1,77.68,"Loose Cotton Clothing, Cap, Sunscreen, Hydration Recommended","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
40,22,13.26,37.44,"Minimal Clothing, Stay Indoors Recommended","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
29,10,5.1,50.89,"Raincoat, Waterproof Shoes, Light Clothes","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
-8,93,22.33,42.77,"Heavy Winter Jacket, Gloves, Woolen Cap, Thermal Wear","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
42,50,4.76,5.39,"Minimal Clothing, Stay Indoors Recommended","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
16,98,6.56,30.66,"Light Jacket, Full-Sleeve Shirt, Jeans","Casual Shirt, Jeans, Comfortable Shoes","Formal Suit, Shirt, Tie, Leather Shoes","Blazer, Dress Shirt, Dark Jeans, Dress Shoes","T-shirt, Jacket, Joggers, Casual Shoes"
-12,73,21.84,37.99,"Heavy Winter Jacket, Gloves, Woolen Cap, Thermal Wear","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
46,61,17.8,50.02,"Minimal Clothing, Stay Indoors Recommended","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
30,60,38.01,98.9,"Loose Cotton Clothing, Cap, Sunscreen, Hydration Recommended","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
49,67,29.22,63.35,"Minimal Clothing, Stay Indoors Recommended","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
0,31,24.35,92.49,"Winter Coat, Sweater, Scarf, Boots","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
25,31,26.5,13.75,"Raincoat, Waterproof Shoes, Light Clothes","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
36,50,24.89,62.39,"Loose Cotton Clothing, Cap, Sunscreen, Hydration Recommended","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
29,70,7.74,43.28,"Raincoat, Waterproof Shoes, Light Clothes","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
42,73,20.21,12.83,"Minimal Clothing, Stay Indoors Recommended","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
28,79,32.19,41.77,"Raincoat, Waterproof Shoes, Light Clothes","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
43,93,6.94,43.95,"Minimal Clothing, Stay Indoors Recommended","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
30,92,18.15,0.96,"Loose Cotton Clothing, Cap, Sunscreen, Hydration Recommended","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
16,18,23.77,7.88,"Light Jacket, Full-Sleeve Shirt, Jeans","Casual Shirt, Jeans, Comfortable Shoes","Formal Suit, Shirt, Tie, Leather Shoes","Blazer, Dress Shirt, Dark Jeans, Dress Shoes","T-shirt, Jacket, Joggers, Casual Shoes"
6,15,25.02,61.01,"Winter Coat, Sweater, Scarf, Boots","Jacket, Sweater, Jeans, Sneakers","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
2,71,2.77,38.79,"Winter Coat, Sweater, Scarf, Boots","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
-3,59,34.89,63.69,"Heavy Winter Jacket, Gloves, Woolen Cap, Thermal Wear","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
-9,9,0.71,86.33,"Heavy Winter Jacket, Gloves, Woolen Cap, Thermal Wear","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
-4,65,11.21,97.76,"Heavy Winter Jacket, Gloves, Woolen Cap, Thermal Wear","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
12,79,39.48,83.29,"Light Jacket, Full-Sleeve Shirt, Jeans","Jacket, Sweater, Jeans, Sneakers","Formal Suit, Shirt, Tie, Leather Shoes","Blazer, Dress Shirt, Dark Jeans, Dress Shoes","T-shirt, Jacket, Joggers, Casual Shoes"
32,31,7.45,4.69,"Shorts, Cotton T-Shirt, Sandals, Sunglasses","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
46,75,8.8,29.51,"Minimal Clothing, Stay Indoors Recommended","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
12,95,12.12,6.7,"Light Jacket, Full-Sleeve Shirt, Jeans","Jacket, Sweater, Jeans, Sneakers","Formal Suit, Shirt, Tie, Leather Shoes","Blazer, Dress Shirt, Dark Jeans, Dress Shoes","T-shirt, Jacket, Joggers, Casual Shoes"
25,48,36.36,77.2,"Raincoat, Waterproof Shoes, Light Clothes","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
44,18,31.17,76.43,"Minimal Clothing, Stay Indoors Recommended","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
-10,16,28.82,21.38,"Heavy Winter Jacket, Gloves, Woolen Cap, Thermal Wear","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
26,79,24.1,96.94,"Raincoat, Waterproof Shoes, Light Clothes","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
17,44,9.47,22.29,"Light Jacket, Full-Sleeve Shirt, Jeans","Casual Shirt, Jeans, Comfortable Shoes","Formal Suit, Shirt, Tie, Leather Shoes","Blazer, Dress Shirt, Dark Jeans, Dress Shoes","T-shirt, Jacket, Joggers, Casual Shoes"
-15,34,14.27,68.29,"Heavy Winter Jacket, Gloves, Woolen Cap, Thermal Wear","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
-12,20,33.54,57.65,"Heavy Winter Jacket, Gloves, Woolen Cap, Thermal Wear","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
-1,35,22.4,51.16,"Heavy Winter Jacket, Gloves, Woolen Cap, Thermal Wear","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
0,67,22.04,12.56,"Winter Coat, Sweater, Scarf, Boots","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
49,27,18.24,57.78,"Minimal Clothing, Stay Indoors Recommended","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
28,59,19.81,21.24,"Raincoat, Waterproof Shoes, Light Clothes","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
-6,31,36.73,70.38,"Heavy Winter Jacket, Gloves, Woolen Cap, Thermal Wear","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
3,38,33.67,1.53,"Winter Coat, Sweater, Scarf, Boots","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
35,88,29.02,14.79,"Loose Cotton Clothing, Cap, Sunscreen, Hydration Recommended","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
10,23,35.2,55.93,"Light Jacket, Full-Sleeve Shirt, Jeans","Jacket, Sweater, Jeans, Sneakers","Formal Suit, Shirt, Tie, Leather Shoes","Blazer, Dress Shirt, Dark Jeans, Dress Shoes","T-shirt, Jacket, Joggers, Casual Shoes"
45,53,35.44,20.03,"Minimal Clothing, Stay Indoors Recommended","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
14,97,0.71,70.96,"Light Jacket, Full-Sleeve Shirt, Jeans","Jacket, Sweater, Jeans, Sneakers","Formal Suit, Shirt, Tie, Leather Shoes","Blazer, Dress Shirt, Dark Jeans, Dress Shoes","T-shirt, Jacket, Joggers, Casual Shoes"
23,96,25.21,91.84,"Raincoat, Waterproof Shoes, Light Clothes","Casual Shirt, Jeans, Comfortable Shoes","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
44,54,3.56,45.16,"Minimal Clothing, Stay Indoors Recommended","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
-14,12,25.87,32.98,"Heavy Winter Jacket, Gloves, Woolen Cap, Thermal Wear","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
0,90,9.92,40.46,"Winter Coat, Sweater, Scarf, Boots","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
45,22,34.72,41.5,"Minimal Clothing, Stay Indoors Recommended","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
45,76,30.4,11.27,"Minimal Clothing, Stay Indoors Recommended","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
39,96,30.9,99.04,"Loose Cotton Clothing, Cap, Sunscreen, Hydration Recommended","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
34,85,33.94,56.17,"Loose Cotton Clothing, Cap, Sunscreen, Hydration Recommended","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
34,53,33.0,62.04,"Loose Cotton Clothing, Cap, Sunscreen, Hydration Recommended","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
38,21,12.14,7.3,"Shorts, Cotton T-Shirt, Sandals, Sunglasses","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
1,32,23.47,48.98,"Winter Coat, Sweater, Scarf, Boots","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
45,33,15.89,13.49,"Minimal Clothing, Stay Indoors Recommended","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
41,45,3.34,92.37,"Minimal Clothing, Stay Indoors Recommended","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
9,96,14.63,54.62,"Winter Coat, Sweater, Scarf, Boots","Jacket, Sweater, Jeans, Sneakers","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
47,81,21.89,69.14,"Minimal Clothing, Stay Indoors Recommended","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
-14,43,14.24,10.48,"Heavy Winter Jacket, Gloves, Woolen Cap, Thermal Wear","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
-15,76,10.57,65.26,"Heavy Winter Jacket, Gloves, Woolen Cap, Thermal Wear","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
46,73,23.34,80.09,"Minimal Clothing, Stay Indoors Recommended","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
-13,45,22.01,81.89,"Heavy Winter Jacket, Gloves, Woolen Cap, Thermal Wear","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
48,47,22.05,7.49,"Minimal Clothing, Stay Indoors Recommended","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
4,73,18.98,64.78,"Winter Coat, Sweater, Scarf, Boots","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
12,90,18.78,2.41,"Light Jacket, Full-Sleeve Shirt, Jeans","Jacket, Sweater, Jeans, Sneakers","Formal Suit, Shirt, Tie, Leather Shoes","Blazer, Dress Shirt, Dark Jeans, Dress Shoes","T-shirt, Jacket, Joggers, Casual Shoes"
0,55,9.43,74.63,"Winter Coat, Sweater, Scarf, Boots","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
10,52,12.27,11.32,"Light Jacket, Full-Sleeve Shirt, Jeans","Jacket, Sweater, Jeans, Sneakers","Formal Suit, Shirt, Tie, Leather Shoes","Blazer, Dress Shirt, Dark Jeans, Dress Shoes","T-shirt, Jacket, Joggers, Casual Shoes"
-4,20,23.34,43.35,"Heavy Winter Jacket, Gloves, Woolen Cap, Thermal Wear","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
1,63,12.63,25.23,"Winter Coat, Sweater, Scarf, Boots","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
16,63,24.81,78.54,"Light Jacket, Full-Sleeve Shirt, Jeans","Casual Shirt, Jeans, Comfortable Shoes","Formal Suit, Shirt, Tie, Leather Shoes","Blazer, Dress Shirt, Dark Jeans, Dress Shoes","T-shirt, Jacket, Joggers, Casual Shoes"
-4,16,5.43,98.24,"Heavy Winter Jacket, Gloves, Woolen Cap, Thermal Wear","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
20,90,1.01,49.82,"Raincoat, Waterproof Shoes, Light Clothes","Casual Shirt, Jeans, Comfortable Shoes","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
-15,53,0.79,29.66,"Heavy Winter Jacket, Gloves, Woolen Cap, Thermal Wear","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
18,46,21.15,3.03,"Light Jacket, Full-Sleeve Shirt, Jeans","Casual Shirt, Jeans, Comfortable Shoes","Formal Suit, Shirt, Tie, Leather Shoes","Blazer, Dress Shirt, Dark Jeans, Dress Shoes","T-shirt, Jacket, Joggers, Casual Shoes"
3,18,1.17,77.36,"Winter Coat, Sweater, Scarf, Boots","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
-12,10,26.01,12.37,"Heavy Winter Jacket, Gloves, Woolen Cap, Thermal Wear","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
-2,95,16.38,1.05,"Heavy Winter Jacket, Gloves, Woolen Cap, Thermal Wear","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
32,92,32.1,18.53,"Loose Cotton Clothing, Cap, Sunscreen, Hydration Recommended","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
27,19,19.22,64.15,"Raincoat, Waterproof Shoes, Light Clothes","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
47,83,0.3,12.44,"Minimal Clothing, Stay Indoors Recommended","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
-2,31,27.37,15.23,"Heavy Winter Jacket, Gloves, Woolen Cap, Thermal Wear","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
-7,83,18.11,58.81,"Heavy Winter Jacket, Gloves, Woolen Cap, Thermal Wear","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
35,58,32.9,82.07,"Loose Cotton Clothing, Cap, Sunscreen, Hydration Recommended","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
-9,86,30.0,12.62,"Heavy Winter Jacket, Gloves, Woolen Cap, Thermal Wear","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
-11,64,30.07,44.08,"Heavy Winter Jacket, Gloves, Woolen Cap, Thermal Wear","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
21,96,12.49,97.03,"Raincoat, Waterproof Shoes, Light Clothes","Casual Shirt, Jeans, Comfortable Shoes","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
24,53,1.62,9.58,"Raincoat, Waterproof Shoes, Light Clothes","Casual Shirt, Jeans, Comfortable Shoes","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
42,82,12.97,42.64,"Minimal Clothing, Stay Indoors Recommended","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
39,10,24.48,92.16,"Loose Cotton Clothing, Cap, Sunscreen, Hydration Recommended","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
-15,14,3.7,32.89,"Heavy Winter Jacket, Gloves, Woolen Cap, Thermal Wear","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
-13,35,23.88,68.88,"Heavy Winter Jacket, Gloves, Woolen Cap, Thermal Wear","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
